"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAB26",2.91312116370635,6.51987722492735,17.8731361303256,1.67404858860525e-63,3.13192323161344e-62,133.566009236095
"PFKFB4",1.30299843433452,7.7183722198154,17.8711352689258,1.72211133100671e-63,3.21890262107695e-62,133.537817029024
"RAB25",2.13992222360035,10.8840769542131,17.8658189160356,1.85661020193987e-63,3.46713916107021e-62,133.462918287891
"POU6F1",-1.34009261670494,7.25786602669789,-17.8597900313491,2.0218584548699e-63,3.77229438128095e-62,133.377996715114
"PCDH18",-2.05632338717628,8.68182770480109,-17.8569657911367,2.10423894784792e-63,3.92242393863626e-62,133.338220772391
"RGS7BP",-2.56185562033723,2.5323973893795,-17.8557724915102,2.14004501783782e-63,3.98554202140233e-62,133.321415710537
"GIMAP6",-1.73195061114557,8.62933822704224,-17.8521530041825,2.25241215919639e-63,4.19100049893708e-62,133.270446978144
"RPUSD1",1.26947474062245,8.94370103587061,17.8445225372801,2.50895699519048e-63,4.66411007291037e-62,133.163016193328
"HES6",2.38778681840881,6.71551571615688,17.8429441430612,2.56555862879545e-63,4.76500762189516e-62,133.140796999219
"TRAF2",1.19200036561269,8.93766816006753,17.8419654667432,2.60129225993452e-63,4.8269993874111e-62,133.127020657828
"LPPR1",-3.04829826250655,2.24398839851907,-17.8361401326721,2.82450062549012e-63,5.23644523201725e-62,133.045029365653
"LARP6",-1.85729514724505,7.44670337459811,-17.8360733921254,2.82716562238115e-63,5.23664692044305e-62,133.044090085508
"TF",-4.590043927842,6.40147293747696,-17.8329666891518,2.95403486542192e-63,5.46669902918098e-62,133.000369824123
"DIAPH3",2.23752941804896,6.93702071211816,17.8323136521876,2.98141720482438e-63,5.51239285722312e-62,132.991180273408
"CD209",-2.70697334170739,5.78485950761659,-17.8289622223565,3.1259809290783e-63,5.77446756655528e-62,132.94402194417
"EBF2",-2.59948941530814,3.92945169041674,-17.8236586867905,3.36917071665908e-63,6.21809291004305e-62,132.86940581484
