"Tumor_Sample_Barcode" "Type"
"TCGA-E2-A15K-11" "TCGA-E2-A15K" "Normal"
"TCGA-E2-A15M-11" "TCGA-E2-A15M" "Normal"
"TCGA-E2-A1BC-11" "TCGA-E2-A1BC" "Normal"
"TCGA-E2-A1IG-11" "TCGA-E2-A1IG" "Normal"
"TCGA-E2-A1L7-11" "TCGA-E2-A1L7" "Normal"
"TCGA-E2-A1LB-11" "TCGA-E2-A1LB" "Normal"
"TCGA-E2-A1LH-11" "TCGA-E2-A1LH" "Normal"
"TCGA-E2-A1LS-11" "TCGA-E2-A1LS" "Normal"
"TCGA-E9-A1N4-11" "TCGA-E9-A1N4" "Normal"
"TCGA-E9-A1N5-11" "TCGA-E9-A1N5" "Normal"
"TCGA-E9-A1N6-11" "TCGA-E9-A1N6" "Normal"
"TCGA-E9-A1N9-11" "TCGA-E9-A1N9" "Normal"
"TCGA-E9-A1NA-11" "TCGA-E9-A1NA" "Normal"
"TCGA-E9-A1ND-11" "TCGA-E9-A1ND" "Normal"
"TCGA-E9-A1NF-11" "TCGA-E9-A1NF" "Normal"
"TCGA-E9-A1NG-11" "TCGA-E9-A1NG" "Normal"
"TCGA-E9-A1R7-11" "TCGA-E9-A1R7" "Normal"
"TCGA-E9-A1RB-11" "TCGA-E9-A1RB" "Normal"
"TCGA-E9-A1RC-11" "TCGA-E9-A1RC" "Normal"
"TCGA-E9-A1RD-11" "TCGA-E9-A1RD" "Normal"
"TCGA-E9-A1RF-11" "TCGA-E9-A1RF" "Normal"
"TCGA-E9-A1RH-11" "TCGA-E9-A1RH" "Normal"
"TCGA-E9-A1RI-11" "TCGA-E9-A1RI" "Normal"
"TCGA-GI-A2C8-11" "TCGA-GI-A2C8" "Normal"
"TCGA-GI-A2C9-11" "TCGA-GI-A2C9" "Normal"
