"Tumor_Sample_Barcode" "Type"
"TCGA-A2-A0YL-01" "TCGA-A2-A0YL" "Tumor"
"TCGA-A2-A0YM-01" "TCGA-A2-A0YM" "Tumor"
"TCGA-A2-A0YT-01" "TCGA-A2-A0YT" "Tumor"
"TCGA-A2-A1FV-01" "TCGA-A2-A1FV" "Tumor"
"TCGA-A2-A1FW-01" "TCGA-A2-A1FW" "Tumor"
"TCGA-A2-A1FX-01" "TCGA-A2-A1FX" "Tumor"
"TCGA-A2-A1FZ-01" "TCGA-A2-A1FZ" "Tumor"
"TCGA-A2-A1G0-01" "TCGA-A2-A1G0" "Tumor"
"TCGA-A2-A1G1-01" "TCGA-A2-A1G1" "Tumor"
"TCGA-A2-A1G4-01" "TCGA-A2-A1G4" "Tumor"
"TCGA-A2-A1G6-01" "TCGA-A2-A1G6" "Tumor"
"TCGA-A2-A259-01" "TCGA-A2-A259" "Tumor"
"TCGA-A2-A25A-01" "TCGA-A2-A25A" "Tumor"
"TCGA-A2-A25B-01" "TCGA-A2-A25B" "Tumor"
"TCGA-A2-A25C-01" "TCGA-A2-A25C" "Tumor"
"TCGA-A2-A25D-01" "TCGA-A2-A25D" "Tumor"
"TCGA-A2-A25E-01" "TCGA-A2-A25E" "Tumor"
"TCGA-A2-A25F-01" "TCGA-A2-A25F" "Tumor"
"TCGA-A2-A3KC-01" "TCGA-A2-A3KC" "Tumor"
"TCGA-A2-A3KD-01" "TCGA-A2-A3KD" "Tumor"
"TCGA-A2-A3XS-01" "TCGA-A2-A3XS" "Tumor"
"TCGA-A2-A3XT-01" "TCGA-A2-A3XT" "Tumor"
"TCGA-A2-A3XU-01" "TCGA-A2-A3XU" "Tumor"
"TCGA-A2-A3XV-01" "TCGA-A2-A3XV" "Tumor"
"TCGA-A2-A3XW-01" "TCGA-A2-A3XW" "Tumor"
"TCGA-A2-A3XX-01" "TCGA-A2-A3XX" "Tumor"
"TCGA-A2-A3XY-01" "TCGA-A2-A3XY" "Tumor"
"TCGA-A2-A3XZ-01" "TCGA-A2-A3XZ" "Tumor"
"TCGA-A2-A3Y0-01" "TCGA-A2-A3Y0" "Tumor"
"TCGA-A2-A4RW-01" "TCGA-A2-A4RW" "Tumor"
"TCGA-A2-A4RX-01" "TCGA-A2-A4RX" "Tumor"
"TCGA-A2-A4RY-01" "TCGA-A2-A4RY" "Tumor"
"TCGA-A2-A4S0-01" "TCGA-A2-A4S0" "Tumor"
"TCGA-A2-A4S1-01" "TCGA-A2-A4S1" "Tumor"
"TCGA-A2-A4S2-01" "TCGA-A2-A4S2" "Tumor"
"TCGA-A2-A4S3-01" "TCGA-A2-A4S3" "Tumor"
"TCGA-A7-A0CD-01" "TCGA-A7-A0CD" "Tumor"
"TCGA-A7-A0CE-01" "TCGA-A7-A0CE" "Tumor"
"TCGA-A7-A0CG-01" "TCGA-A7-A0CG" "Tumor"
"TCGA-A7-A0CH-01" "TCGA-A7-A0CH" "Tumor"
"TCGA-A7-A0CJ-01" "TCGA-A7-A0CJ" "Tumor"
"TCGA-A7-A0D9-01" "TCGA-A7-A0D9" "Tumor"
"TCGA-A7-A0DA-01" "TCGA-A7-A0DA" "Tumor"
"TCGA-A7-A0DB-01" "TCGA-A7-A0DB" "Tumor"
"TCGA-A7-A0DC-01" "TCGA-A7-A0DC" "Tumor"
"TCGA-A7-A13D-01" "TCGA-A7-A13D" "Tumor"
"TCGA-A7-A13E-01" "TCGA-A7-A13E" "Tumor"
"TCGA-A7-A13F-01" "TCGA-A7-A13F" "Tumor"
"TCGA-A7-A13G-01" "TCGA-A7-A13G" "Tumor"
"TCGA-A7-A13H-01" "TCGA-A7-A13H" "Tumor"
"TCGA-A7-A26E-01" "TCGA-A7-A26E" "Tumor"
"TCGA-A7-A26F-01" "TCGA-A7-A26F" "Tumor"
"TCGA-A7-A26G-01" "TCGA-A7-A26G" "Tumor"
"TCGA-A7-A26H-01" "TCGA-A7-A26H" "Tumor"
"TCGA-A7-A26I-01" "TCGA-A7-A26I" "Tumor"
"TCGA-A7-A26J-01" "TCGA-A7-A26J" "Tumor"
"TCGA-A7-A2KD-01" "TCGA-A7-A2KD" "Tumor"
"TCGA-A7-A3IY-01" "TCGA-A7-A3IY" "Tumor"
"TCGA-A7-A3IZ-01" "TCGA-A7-A3IZ" "Tumor"
"TCGA-A7-A3J0-01" "TCGA-A7-A3J0" "Tumor"
"TCGA-A7-A3J1-01" "TCGA-A7-A3J1" "Tumor"
"TCGA-A7-A3RF-01" "TCGA-A7-A3RF" "Tumor"
"TCGA-A7-A425-01" "TCGA-A7-A425" "Tumor"
"TCGA-A7-A426-01" "TCGA-A7-A426" "Tumor"
"TCGA-A7-A4SA-01" "TCGA-A7-A4SA" "Tumor"
"TCGA-A7-A4SB-01" "TCGA-A7-A4SB" "Tumor"
"TCGA-A7-A4SC-01" "TCGA-A7-A4SC" "Tumor"
"TCGA-A7-A4SD-01" "TCGA-A7-A4SD" "Tumor"
"TCGA-A7-A4SE-01" "TCGA-A7-A4SE" "Tumor"
"TCGA-A7-A4SF-01" "TCGA-A7-A4SF" "Tumor"
"TCGA-A7-A56D-01" "TCGA-A7-A56D" "Tumor"
"TCGA-A7-A5ZV-01" "TCGA-A7-A5ZV" "Tumor"
"TCGA-A7-A5ZW-01" "TCGA-A7-A5ZW" "Tumor"
"TCGA-A7-A5ZX-01" "TCGA-A7-A5ZX" "Tumor"
"TCGA-A7-A6VV-01" "TCGA-A7-A6VV" "Tumor"
"TCGA-A7-A6VW-01" "TCGA-A7-A6VW" "Tumor"
"TCGA-A7-A6VX-01" "TCGA-A7-A6VX" "Tumor"
"TCGA-A7-A6VY-01" "TCGA-A7-A6VY" "Tumor"
"TCGA-A8-A06N-01" "TCGA-A8-A06N" "Tumor"
"TCGA-A8-A06O-01" "TCGA-A8-A06O" "Tumor"
"TCGA-A8-A06P-01" "TCGA-A8-A06P" "Tumor"
"TCGA-A8-A06Q-01" "TCGA-A8-A06Q" "Tumor"
"TCGA-A8-A06R-01" "TCGA-A8-A06R" "Tumor"
"TCGA-A8-A06T-01" "TCGA-A8-A06T" "Tumor"
"TCGA-A8-A06U-01" "TCGA-A8-A06U" "Tumor"
"TCGA-A8-A06X-01" "TCGA-A8-A06X" "Tumor"
"TCGA-A8-A06Y-01" "TCGA-A8-A06Y" "Tumor"
"TCGA-A8-A06Z-01" "TCGA-A8-A06Z" "Tumor"
"TCGA-A8-A075-01" "TCGA-A8-A075" "Tumor"
"TCGA-A8-A076-01" "TCGA-A8-A076" "Tumor"
"TCGA-A8-A079-01" "TCGA-A8-A079" "Tumor"
"TCGA-A8-A07B-01" "TCGA-A8-A07B" "Tumor"
"TCGA-A8-A07C-01" "TCGA-A8-A07C" "Tumor"
"TCGA-A8-A07E-01" "TCGA-A8-A07E" "Tumor"
"TCGA-A8-A07F-01" "TCGA-A8-A07F" "Tumor"
"TCGA-A8-A07G-01" "TCGA-A8-A07G" "Tumor"
"TCGA-A8-A07I-01" "TCGA-A8-A07I" "Tumor"
