"Tumor_Sample_Barcode" "Type"
"TCGA-AQ-A54O-01" "TCGA-AQ-A54O" "Tumor"
"TCGA-AQ-A7U7-01" "TCGA-AQ-A7U7" "Tumor"
"TCGA-AR-A0TP-01" "TCGA-AR-A0TP" "Tumor"
"TCGA-AR-A0TQ-01" "TCGA-AR-A0TQ" "Tumor"
"TCGA-AR-A0TR-01" "TCGA-AR-A0TR" "Tumor"
"TCGA-AR-A0TS-01" "TCGA-AR-A0TS" "Tumor"
"TCGA-AR-A0TT-01" "TCGA-AR-A0TT" "Tumor"
"TCGA-AR-A0TU-01" "TCGA-AR-A0TU" "Tumor"
"TCGA-AR-A0TV-01" "TCGA-AR-A0TV" "Tumor"
"TCGA-AR-A0TW-01" "TCGA-AR-A0TW" "Tumor"
"TCGA-AR-A0TX-01" "TCGA-AR-A0TX" "Tumor"
"TCGA-AR-A0TY-01" "TCGA-AR-A0TY" "Tumor"
"TCGA-AR-A0TZ-01" "TCGA-AR-A0TZ" "Tumor"
"TCGA-AR-A0U0-01" "TCGA-AR-A0U0" "Tumor"
"TCGA-AR-A0U1-01" "TCGA-AR-A0U1" "Tumor"
"TCGA-AR-A0U2-01" "TCGA-AR-A0U2" "Tumor"
"TCGA-AR-A0U3-01" "TCGA-AR-A0U3" "Tumor"
"TCGA-AR-A0U4-01" "TCGA-AR-A0U4" "Tumor"
"TCGA-AR-A1AH-01" "TCGA-AR-A1AH" "Tumor"
"TCGA-AR-A1AI-01" "TCGA-AR-A1AI" "Tumor"
"TCGA-AR-A1AJ-01" "TCGA-AR-A1AJ" "Tumor"
"TCGA-AR-A1AK-01" "TCGA-AR-A1AK" "Tumor"
"TCGA-AR-A1AL-01" "TCGA-AR-A1AL" "Tumor"
"TCGA-AR-A1AM-01" "TCGA-AR-A1AM" "Tumor"
"TCGA-AR-A1AN-01" "TCGA-AR-A1AN" "Tumor"
"TCGA-AR-A1AO-01" "TCGA-AR-A1AO" "Tumor"
"TCGA-AR-A1AP-01" "TCGA-AR-A1AP" "Tumor"
"TCGA-AR-A1AQ-01" "TCGA-AR-A1AQ" "Tumor"
"TCGA-AR-A1AR-01" "TCGA-AR-A1AR" "Tumor"
"TCGA-AR-A1AS-01" "TCGA-AR-A1AS" "Tumor"
"TCGA-AR-A1AT-01" "TCGA-AR-A1AT" "Tumor"
"TCGA-AR-A1AU-01" "TCGA-AR-A1AU" "Tumor"
"TCGA-AR-A1AV-01" "TCGA-AR-A1AV" "Tumor"
"TCGA-AR-A1AW-01" "TCGA-AR-A1AW" "Tumor"
"TCGA-AR-A1AX-01" "TCGA-AR-A1AX" "Tumor"
"TCGA-AR-A1AY-01" "TCGA-AR-A1AY" "Tumor"
"TCGA-AR-A24H-01" "TCGA-AR-A24H" "Tumor"
"TCGA-AR-A24K-01" "TCGA-AR-A24K" "Tumor"
"TCGA-AR-A24L-01" "TCGA-AR-A24L" "Tumor"
"TCGA-AR-A24M-01" "TCGA-AR-A24M" "Tumor"
"TCGA-AR-A24N-01" "TCGA-AR-A24N" "Tumor"
"TCGA-AR-A24O-01" "TCGA-AR-A24O" "Tumor"
"TCGA-AR-A24P-01" "TCGA-AR-A24P" "Tumor"
"TCGA-AR-A24Q-01" "TCGA-AR-A24Q" "Tumor"
"TCGA-AR-A24R-01" "TCGA-AR-A24R" "Tumor"
"TCGA-AR-A24S-01" "TCGA-AR-A24S" "Tumor"
"TCGA-AR-A24T-01" "TCGA-AR-A24T" "Tumor"
"TCGA-AR-A24U-01" "TCGA-AR-A24U" "Tumor"
"TCGA-AR-A24V-01" "TCGA-AR-A24V" "Tumor"
"TCGA-AR-A24W-01" "TCGA-AR-A24W" "Tumor"
"TCGA-AR-A24X-01" "TCGA-AR-A24X" "Tumor"
"TCGA-AR-A24Z-01" "TCGA-AR-A24Z" "Tumor"
"TCGA-AR-A250-01" "TCGA-AR-A250" "Tumor"
"TCGA-AR-A251-01" "TCGA-AR-A251" "Tumor"
"TCGA-AR-A252-01" "TCGA-AR-A252" "Tumor"
"TCGA-AR-A254-01" "TCGA-AR-A254" "Tumor"
"TCGA-AR-A255-01" "TCGA-AR-A255" "Tumor"
"TCGA-AR-A256-01" "TCGA-AR-A256" "Tumor"
"TCGA-AR-A2LE-01" "TCGA-AR-A2LE" "Tumor"
"TCGA-AR-A2LH-01" "TCGA-AR-A2LH" "Tumor"
"TCGA-AR-A2LJ-01" "TCGA-AR-A2LJ" "Tumor"
"TCGA-AR-A2LK-01" "TCGA-AR-A2LK" "Tumor"
"TCGA-AR-A2LM-01" "TCGA-AR-A2LM" "Tumor"
"TCGA-AR-A2LN-01" "TCGA-AR-A2LN" "Tumor"
"TCGA-AR-A2LO-01" "TCGA-AR-A2LO" "Tumor"
"TCGA-AR-A2LQ-01" "TCGA-AR-A2LQ" "Tumor"
"TCGA-AR-A5QM-01" "TCGA-AR-A5QM" "Tumor"
"TCGA-AR-A5QN-01" "TCGA-AR-A5QN" "Tumor"
"TCGA-AR-A5QP-01" "TCGA-AR-A5QP" "Tumor"
"TCGA-AR-A5QQ-01" "TCGA-AR-A5QQ" "Tumor"
"TCGA-B6-A0I1-01" "TCGA-B6-A0I1" "Tumor"
"TCGA-B6-A0I2-01" "TCGA-B6-A0I2" "Tumor"
"TCGA-B6-A0I5-01" "TCGA-B6-A0I5" "Tumor"
"TCGA-B6-A0I6-01" "TCGA-B6-A0I6" "Tumor"
"TCGA-B6-A0I8-01" "TCGA-B6-A0I8" "Tumor"
"TCGA-B6-A0I9-01" "TCGA-B6-A0I9" "Tumor"
"TCGA-B6-A0IA-01" "TCGA-B6-A0IA" "Tumor"
"TCGA-B6-A0IB-01" "TCGA-B6-A0IB" "Tumor"
"TCGA-B6-A0IC-01" "TCGA-B6-A0IC" "Tumor"
"TCGA-B6-A0IE-01" "TCGA-B6-A0IE" "Tumor"
"TCGA-B6-A0IG-01" "TCGA-B6-A0IG" "Tumor"
"TCGA-B6-A0IH-01" "TCGA-B6-A0IH" "Tumor"
"TCGA-B6-A0IJ-01" "TCGA-B6-A0IJ" "Tumor"
"TCGA-B6-A0IK-01" "TCGA-B6-A0IK" "Tumor"
"TCGA-B6-A0IM-01" "TCGA-B6-A0IM" "Tumor"
"TCGA-B6-A0IN-01" "TCGA-B6-A0IN" "Tumor"
"TCGA-B6-A0IO-01" "TCGA-B6-A0IO" "Tumor"
"TCGA-B6-A0IP-01" "TCGA-B6-A0IP" "Tumor"
"TCGA-B6-A0IQ-01" "TCGA-B6-A0IQ" "Tumor"
"TCGA-B6-A0RE-01" "TCGA-B6-A0RE" "Tumor"
"TCGA-B6-A0RG-01" "TCGA-B6-A0RG" "Tumor"
"TCGA-B6-A0RH-01" "TCGA-B6-A0RH" "Tumor"
"TCGA-B6-A0RI-01" "TCGA-B6-A0RI" "Tumor"
"TCGA-B6-A0RL-01" "TCGA-B6-A0RL" "Tumor"
"TCGA-B6-A0RM-01" "TCGA-B6-A0RM" "Tumor"
"TCGA-B6-A0RN-01" "TCGA-B6-A0RN" "Tumor"
"TCGA-B6-A0RO-01" "TCGA-B6-A0RO" "Tumor"
"TCGA-B6-A0RP-01" "TCGA-B6-A0RP" "Tumor"
"TCGA-B6-A0RQ-01" "TCGA-B6-A0RQ" "Tumor"
"TCGA-B6-A0RS-01" "TCGA-B6-A0RS" "Tumor"
"TCGA-B6-A0RT-01" "TCGA-B6-A0RT" "Tumor"
"TCGA-B6-A0RU-01" "TCGA-B6-A0RU" "Tumor"
"TCGA-B6-A0RV-01" "TCGA-B6-A0RV" "Tumor"
"TCGA-B6-A0WS-01" "TCGA-B6-A0WS" "Tumor"
"TCGA-B6-A0WT-01" "TCGA-B6-A0WT" "Tumor"
"TCGA-B6-A0WV-01" "TCGA-B6-A0WV" "Tumor"
"TCGA-B6-A0WW-01" "TCGA-B6-A0WW" "Tumor"
"TCGA-B6-A0WX-01" "TCGA-B6-A0WX" "Tumor"
"TCGA-B6-A0WY-01" "TCGA-B6-A0WY" "Tumor"
"TCGA-B6-A0WZ-01" "TCGA-B6-A0WZ" "Tumor"
"TCGA-B6-A0X0-01" "TCGA-B6-A0X0" "Tumor"
"TCGA-B6-A0X1-01" "TCGA-B6-A0X1" "Tumor"
"TCGA-B6-A0X4-01" "TCGA-B6-A0X4" "Tumor"
"TCGA-B6-A0X5-01" "TCGA-B6-A0X5" "Tumor"
"TCGA-B6-A0X7-01" "TCGA-B6-A0X7" "Tumor"
"TCGA-B6-A1KC-01" "TCGA-B6-A1KC" "Tumor"
"TCGA-B6-A1KF-01" "TCGA-B6-A1KF" "Tumor"
"TCGA-B6-A1KI-01" "TCGA-B6-A1KI" "Tumor"
"TCGA-B6-A1KN-01" "TCGA-B6-A1KN" "Tumor"
"TCGA-B6-A2IU-01" "TCGA-B6-A2IU" "Tumor"
"TCGA-B6-A3ZX-01" "TCGA-B6-A3ZX" "Tumor"
"TCGA-B6-A400-01" "TCGA-B6-A400" "Tumor"
"TCGA-B6-A401-01" "TCGA-B6-A401" "Tumor"
"TCGA-B6-A402-01" "TCGA-B6-A402" "Tumor"
"TCGA-B6-A408-01" "TCGA-B6-A408" "Tumor"
"TCGA-B6-A409-01" "TCGA-B6-A409" "Tumor"
"TCGA-B6-A40B-01" "TCGA-B6-A40B" "Tumor"
"TCGA-B6-A40C-01" "TCGA-B6-A40C" "Tumor"
"TCGA-BH-A0AU-01" "TCGA-BH-A0AU" "Tumor"
"TCGA-BH-A0AV-01" "TCGA-BH-A0AV" "Tumor"
"TCGA-BH-A0AW-01" "TCGA-BH-A0AW" "Tumor"
"TCGA-BH-A0AY-01" "TCGA-BH-A0AY" "Tumor"
"TCGA-BH-A0AZ-01" "TCGA-BH-A0AZ" "Tumor"
"TCGA-BH-A0B0-01" "TCGA-BH-A0B0" "Tumor"
"TCGA-BH-A0B1-01" "TCGA-BH-A0B1" "Tumor"
"TCGA-BH-A0B2-01" "TCGA-BH-A0B2" "Tumor"
"TCGA-BH-A0B3-01" "TCGA-BH-A0B3" "Tumor"
"TCGA-BH-A0B4-01" "TCGA-BH-A0B4" "Tumor"
"TCGA-BH-A0B5-01" "TCGA-BH-A0B5" "Tumor"
"TCGA-BH-A0B7-01" "TCGA-BH-A0B7" "Tumor"
"TCGA-BH-A0B8-01" "TCGA-BH-A0B8" "Tumor"
"TCGA-BH-A0B9-01" "TCGA-BH-A0B9" "Tumor"
"TCGA-BH-A0BA-01" "TCGA-BH-A0BA" "Tumor"
"TCGA-BH-A0BC-01" "TCGA-BH-A0BC" "Tumor"
"TCGA-BH-A0BD-01" "TCGA-BH-A0BD" "Tumor"
"TCGA-BH-A0BF-01" "TCGA-BH-A0BF" "Tumor"
"TCGA-BH-A0BG-01" "TCGA-BH-A0BG" "Tumor"
"TCGA-BH-A0BJ-01" "TCGA-BH-A0BJ" "Tumor"
"TCGA-BH-A0BL-01" "TCGA-BH-A0BL" "Tumor"
"TCGA-BH-A0BM-01" "TCGA-BH-A0BM" "Tumor"
"TCGA-BH-A0BO-01" "TCGA-BH-A0BO" "Tumor"
"TCGA-BH-A0BP-01" "TCGA-BH-A0BP" "Tumor"
"TCGA-BH-A0BQ-01" "TCGA-BH-A0BQ" "Tumor"
"TCGA-BH-A0BR-01" "TCGA-BH-A0BR" "Tumor"
"TCGA-BH-A0BS-01" "TCGA-BH-A0BS" "Tumor"
"TCGA-BH-A0BT-01" "TCGA-BH-A0BT" "Tumor"
"TCGA-BH-A0BV-01" "TCGA-BH-A0BV" "Tumor"
"TCGA-BH-A0BW-01" "TCGA-BH-A0BW" "Tumor"
"TCGA-BH-A0BZ-01" "TCGA-BH-A0BZ" "Tumor"
"TCGA-BH-A0C0-01" "TCGA-BH-A0C0" "Tumor"
"TCGA-BH-A0C1-01" "TCGA-BH-A0C1" "Tumor"
"TCGA-BH-A0C3-01" "TCGA-BH-A0C3" "Tumor"
"TCGA-BH-A0C7-01" "TCGA-BH-A0C7" "Tumor"
"TCGA-BH-A0DD-01" "TCGA-BH-A0DD" "Tumor"
"TCGA-BH-A0DE-01" "TCGA-BH-A0DE" "Tumor"
"TCGA-BH-A0DG-01" "TCGA-BH-A0DG" "Tumor"
"TCGA-BH-A0DH-01" "TCGA-BH-A0DH" "Tumor"
"TCGA-BH-A0DI-01" "TCGA-BH-A0DI" "Tumor"
"TCGA-BH-A0DK-01" "TCGA-BH-A0DK" "Tumor"
"TCGA-BH-A0DL-01" "TCGA-BH-A0DL" "Tumor"
"TCGA-BH-A0DO-01" "TCGA-BH-A0DO" "Tumor"
"TCGA-BH-A0DP-01" "TCGA-BH-A0DP" "Tumor"
"TCGA-BH-A0DQ-01" "TCGA-BH-A0DQ" "Tumor"
"TCGA-BH-A0DS-01" "TCGA-BH-A0DS" "Tumor"
"TCGA-BH-A0DT-01" "TCGA-BH-A0DT" "Tumor"
"TCGA-BH-A0DV-01" "TCGA-BH-A0DV" "Tumor"
"TCGA-BH-A0DX-01" "TCGA-BH-A0DX" "Tumor"
"TCGA-BH-A0DZ-01" "TCGA-BH-A0DZ" "Tumor"
"TCGA-BH-A0E0-01" "TCGA-BH-A0E0" "Tumor"
"TCGA-BH-A0E1-01" "TCGA-BH-A0E1" "Tumor"
"TCGA-BH-A0E2-01" "TCGA-BH-A0E2" "Tumor"
"TCGA-BH-A0E6-01" "TCGA-BH-A0E6" "Tumor"
"TCGA-BH-A0E7-01" "TCGA-BH-A0E7" "Tumor"
"TCGA-BH-A0E9-01" "TCGA-BH-A0E9" "Tumor"
"TCGA-BH-A0EA-01" "TCGA-BH-A0EA" "Tumor"
"TCGA-BH-A0EB-01" "TCGA-BH-A0EB" "Tumor"
"TCGA-BH-A0EE-01" "TCGA-BH-A0EE" "Tumor"
"TCGA-BH-A0EI-01" "TCGA-BH-A0EI" "Tumor"
"TCGA-BH-A0GY-01" "TCGA-BH-A0GY" "Tumor"
"TCGA-BH-A0GZ-01" "TCGA-BH-A0GZ" "Tumor"
"TCGA-BH-A0H0-01" "TCGA-BH-A0H0" "Tumor"
"TCGA-BH-A0H3-01" "TCGA-BH-A0H3" "Tumor"
"TCGA-BH-A0H5-01" "TCGA-BH-A0H5" "Tumor"
"TCGA-BH-A0H6-01" "TCGA-BH-A0H6" "Tumor"
"TCGA-BH-A0H7-01" "TCGA-BH-A0H7" "Tumor"
"TCGA-BH-A0H9-01" "TCGA-BH-A0H9" "Tumor"
"TCGA-BH-A0HA-01" "TCGA-BH-A0HA" "Tumor"
"TCGA-BH-A0HB-01" "TCGA-BH-A0HB" "Tumor"
"TCGA-BH-A0HF-01" "TCGA-BH-A0HF" "Tumor"
"TCGA-BH-A0HI-01" "TCGA-BH-A0HI" "Tumor"
"TCGA-BH-A0HK-01" "TCGA-BH-A0HK" "Tumor"
"TCGA-BH-A0HL-01" "TCGA-BH-A0HL" "Tumor"
"TCGA-BH-A0HN-01" "TCGA-BH-A0HN" "Tumor"
"TCGA-BH-A0HO-01" "TCGA-BH-A0HO" "Tumor"
"TCGA-BH-A0HP-01" "TCGA-BH-A0HP" "Tumor"
"TCGA-BH-A0HQ-01" "TCGA-BH-A0HQ" "Tumor"
"TCGA-BH-A0HU-01" "TCGA-BH-A0HU" "Tumor"
"TCGA-BH-A0HW-01" "TCGA-BH-A0HW" "Tumor"
"TCGA-BH-A0HX-01" "TCGA-BH-A0HX" "Tumor"
"TCGA-BH-A0HY-01" "TCGA-BH-A0HY" "Tumor"
"TCGA-BH-A0RX-01" "TCGA-BH-A0RX" "Tumor"
"TCGA-BH-A0W3-01" "TCGA-BH-A0W3" "Tumor"
"TCGA-BH-A0W4-01" "TCGA-BH-A0W4" "Tumor"
"TCGA-BH-A0W5-01" "TCGA-BH-A0W5" "Tumor"
"TCGA-BH-A0W7-01" "TCGA-BH-A0W7" "Tumor"
"TCGA-BH-A0WA-01" "TCGA-BH-A0WA" "Tumor"
"TCGA-BH-A18F-01" "TCGA-BH-A18F" "Tumor"
"TCGA-BH-A18G-01" "TCGA-BH-A18G" "Tumor"
"TCGA-BH-A18H-01" "TCGA-BH-A18H" "Tumor"
"TCGA-BH-A18I-01" "TCGA-BH-A18I" "Tumor"
"TCGA-BH-A18J-01" "TCGA-BH-A18J" "Tumor"
"TCGA-BH-A18K-01" "TCGA-BH-A18K" "Tumor"
"TCGA-BH-A18L-01" "TCGA-BH-A18L" "Tumor"
"TCGA-BH-A18M-01" "TCGA-BH-A18M" "Tumor"
"TCGA-BH-A18N-01" "TCGA-BH-A18N" "Tumor"
"TCGA-BH-A18P-01" "TCGA-BH-A18P" "Tumor"
"TCGA-BH-A18Q-01" "TCGA-BH-A18Q" "Tumor"
"TCGA-BH-A18R-01" "TCGA-BH-A18R" "Tumor"
"TCGA-BH-A18S-01" "TCGA-BH-A18S" "Tumor"
"TCGA-BH-A18T-01" "TCGA-BH-A18T" "Tumor"
"TCGA-BH-A18U-01" "TCGA-BH-A18U" "Tumor"
"TCGA-BH-A18V-01" "TCGA-BH-A18V" "Tumor"
"TCGA-BH-A1EN-01" "TCGA-BH-A1EN" "Tumor"
"TCGA-BH-A1EO-01" "TCGA-BH-A1EO" "Tumor"
"TCGA-BH-A1ES-01" "TCGA-BH-A1ES" "Tumor"
"TCGA-BH-A1ET-01" "TCGA-BH-A1ET" "Tumor"
"TCGA-BH-A1EU-01" "TCGA-BH-A1EU" "Tumor"
"TCGA-BH-A1EV-01" "TCGA-BH-A1EV" "Tumor"
"TCGA-BH-A1EW-01" "TCGA-BH-A1EW" "Tumor"
"TCGA-BH-A1EX-01" "TCGA-BH-A1EX" "Tumor"
"TCGA-BH-A1EY-01" "TCGA-BH-A1EY" "Tumor"
"TCGA-BH-A1F0-01" "TCGA-BH-A1F0" "Tumor"
"TCGA-BH-A1F2-01" "TCGA-BH-A1F2" "Tumor"
"TCGA-BH-A1F5-01" "TCGA-BH-A1F5" "Tumor"
"TCGA-BH-A1F6-01" "TCGA-BH-A1F6" "Tumor"
"TCGA-BH-A1F8-01" "TCGA-BH-A1F8" "Tumor"
"TCGA-BH-A1FB-01" "TCGA-BH-A1FB" "Tumor"
"TCGA-BH-A1FC-01" "TCGA-BH-A1FC" "Tumor"
"TCGA-BH-A1FD-01" "TCGA-BH-A1FD" "Tumor"
"TCGA-BH-A1FE-01" "TCGA-BH-A1FE" "Tumor"
"TCGA-BH-A1FG-01" "TCGA-BH-A1FG" "Tumor"
"TCGA-BH-A1FH-01" "TCGA-BH-A1FH" "Tumor"
"TCGA-BH-A1FJ-01" "TCGA-BH-A1FJ" "Tumor"
"TCGA-BH-A1FL-01" "TCGA-BH-A1FL" "Tumor"
"TCGA-BH-A1FM-01" "TCGA-BH-A1FM" "Tumor"
"TCGA-BH-A1FN-01" "TCGA-BH-A1FN" "Tumor"
"TCGA-BH-A1FR-01" "TCGA-BH-A1FR" "Tumor"
"TCGA-BH-A1FU-01" "TCGA-BH-A1FU" "Tumor"
"TCGA-BH-A201-01" "TCGA-BH-A201" "Tumor"
"TCGA-BH-A202-01" "TCGA-BH-A202" "Tumor"
"TCGA-BH-A203-01" "TCGA-BH-A203" "Tumor"
"TCGA-BH-A204-01" "TCGA-BH-A204" "Tumor"
"TCGA-BH-A208-01" "TCGA-BH-A208" "Tumor"
"TCGA-BH-A209-01" "TCGA-BH-A209" "Tumor"
"TCGA-BH-A28O-01" "TCGA-BH-A28O" "Tumor"
"TCGA-BH-A28Q-01" "TCGA-BH-A28Q" "Tumor"
"TCGA-BH-A2L8-01" "TCGA-BH-A2L8" "Tumor"
"TCGA-BH-A42T-01" "TCGA-BH-A42T" "Tumor"
"TCGA-BH-A42U-01" "TCGA-BH-A42U" "Tumor"
"TCGA-BH-A42V-01" "TCGA-BH-A42V" "Tumor"
"TCGA-BH-A5IZ-01" "TCGA-BH-A5IZ" "Tumor"
"TCGA-BH-A5J0-01" "TCGA-BH-A5J0" "Tumor"
"TCGA-BH-A6R8-01" "TCGA-BH-A6R8" "Tumor"
"TCGA-BH-A6R9-01" "TCGA-BH-A6R9" "Tumor"
"TCGA-BH-A8FY-01" "TCGA-BH-A8FY" "Tumor"
"TCGA-BH-A8FZ-01" "TCGA-BH-A8FZ" "Tumor"
"TCGA-BH-A8G0-01" "TCGA-BH-A8G0" "Tumor"
"TCGA-BH-AB28-01" "TCGA-BH-AB28" "Tumor"
"TCGA-C8-A12K-01" "TCGA-C8-A12K" "Tumor"
"TCGA-C8-A12L-01" "TCGA-C8-A12L" "Tumor"
"TCGA-C8-A12M-01" "TCGA-C8-A12M" "Tumor"
"TCGA-C8-A12N-01" "TCGA-C8-A12N" "Tumor"
"TCGA-C8-A12O-01" "TCGA-C8-A12O" "Tumor"
"TCGA-C8-A12P-01" "TCGA-C8-A12P" "Tumor"
"TCGA-C8-A12Q-01" "TCGA-C8-A12Q" "Tumor"
"TCGA-C8-A12T-01" "TCGA-C8-A12T" "Tumor"
"TCGA-C8-A12U-01" "TCGA-C8-A12U" "Tumor"
"TCGA-C8-A12V-01" "TCGA-C8-A12V" "Tumor"
"TCGA-C8-A12W-01" "TCGA-C8-A12W" "Tumor"
"TCGA-C8-A12X-01" "TCGA-C8-A12X" "Tumor"
"TCGA-C8-A12Y-01" "TCGA-C8-A12Y" "Tumor"
"TCGA-C8-A12Z-01" "TCGA-C8-A12Z" "Tumor"
"TCGA-C8-A130-01" "TCGA-C8-A130" "Tumor"
"TCGA-C8-A131-01" "TCGA-C8-A131" "Tumor"
"TCGA-C8-A132-01" "TCGA-C8-A132" "Tumor"
"TCGA-C8-A133-01" "TCGA-C8-A133" "Tumor"
"TCGA-C8-A134-01" "TCGA-C8-A134" "Tumor"
"TCGA-C8-A135-01" "TCGA-C8-A135" "Tumor"
"TCGA-C8-A137-01" "TCGA-C8-A137" "Tumor"
"TCGA-C8-A138-01" "TCGA-C8-A138" "Tumor"
"TCGA-C8-A1HE-01" "TCGA-C8-A1HE" "Tumor"
"TCGA-C8-A1HF-01" "TCGA-C8-A1HF" "Tumor"
"TCGA-C8-A1HG-01" "TCGA-C8-A1HG" "Tumor"
"TCGA-C8-A1HI-01" "TCGA-C8-A1HI" "Tumor"
"TCGA-C8-A1HJ-01" "TCGA-C8-A1HJ" "Tumor"
"TCGA-C8-A1HK-01" "TCGA-C8-A1HK" "Tumor"
"TCGA-C8-A1HL-01" "TCGA-C8-A1HL" "Tumor"
"TCGA-C8-A1HM-01" "TCGA-C8-A1HM" "Tumor"
"TCGA-C8-A1HN-01" "TCGA-C8-A1HN" "Tumor"
"TCGA-C8-A1HO-01" "TCGA-C8-A1HO" "Tumor"
"TCGA-C8-A26V-01" "TCGA-C8-A26V" "Tumor"
"TCGA-C8-A26W-01" "TCGA-C8-A26W" "Tumor"
"TCGA-C8-A26X-01" "TCGA-C8-A26X" "Tumor"
"TCGA-C8-A26Y-01" "TCGA-C8-A26Y" "Tumor"
"TCGA-C8-A26Z-01" "TCGA-C8-A26Z" "Tumor"
"TCGA-C8-A273-01" "TCGA-C8-A273" "Tumor"
"TCGA-C8-A274-01" "TCGA-C8-A274" "Tumor"
"TCGA-C8-A275-01" "TCGA-C8-A275" "Tumor"
"TCGA-C8-A278-01" "TCGA-C8-A278" "Tumor"
"TCGA-C8-A27A-01" "TCGA-C8-A27A" "Tumor"
"TCGA-C8-A27B-01" "TCGA-C8-A27B" "Tumor"
"TCGA-C8-A3M7-01" "TCGA-C8-A3M7" "Tumor"
"TCGA-C8-A3M8-01" "TCGA-C8-A3M8" "Tumor"
"TCGA-C8-A8HP-01" "TCGA-C8-A8HP" "Tumor"
"TCGA-C8-A8HQ-01" "TCGA-C8-A8HQ" "Tumor"
"TCGA-C8-A8HR-01" "TCGA-C8-A8HR" "Tumor"
"TCGA-D8-A13Y-01" "TCGA-D8-A13Y" "Tumor"
"TCGA-D8-A13Z-01" "TCGA-D8-A13Z" "Tumor"
"TCGA-D8-A140-01" "TCGA-D8-A140" "Tumor"
"TCGA-D8-A141-01" "TCGA-D8-A141" "Tumor"
"TCGA-D8-A142-01" "TCGA-D8-A142" "Tumor"
"TCGA-D8-A143-01" "TCGA-D8-A143" "Tumor"
"TCGA-D8-A145-01" "TCGA-D8-A145" "Tumor"
"TCGA-D8-A147-01" "TCGA-D8-A147" "Tumor"
"TCGA-D8-A1J8-01" "TCGA-D8-A1J8" "Tumor"
"TCGA-D8-A1J9-01" "TCGA-D8-A1J9" "Tumor"
"TCGA-D8-A1JA-01" "TCGA-D8-A1JA" "Tumor"
"TCGA-D8-A1JB-01" "TCGA-D8-A1JB" "Tumor"
"TCGA-D8-A1JC-01" "TCGA-D8-A1JC" "Tumor"
"TCGA-D8-A1JD-01" "TCGA-D8-A1JD" "Tumor"
"TCGA-D8-A1JE-01" "TCGA-D8-A1JE" "Tumor"
"TCGA-D8-A1JF-01" "TCGA-D8-A1JF" "Tumor"
"TCGA-D8-A1JG-01" "TCGA-D8-A1JG" "Tumor"
"TCGA-D8-A1JH-01" "TCGA-D8-A1JH" "Tumor"
"TCGA-D8-A1JI-01" "TCGA-D8-A1JI" "Tumor"
"TCGA-D8-A1JJ-01" "TCGA-D8-A1JJ" "Tumor"
"TCGA-D8-A1JK-01" "TCGA-D8-A1JK" "Tumor"
"TCGA-D8-A1JL-01" "TCGA-D8-A1JL" "Tumor"
"TCGA-D8-A1JM-01" "TCGA-D8-A1JM" "Tumor"
"TCGA-D8-A1JN-01" "TCGA-D8-A1JN" "Tumor"
"TCGA-D8-A1JP-01" "TCGA-D8-A1JP" "Tumor"
"TCGA-D8-A1JS-01" "TCGA-D8-A1JS" "Tumor"
"TCGA-D8-A1JT-01" "TCGA-D8-A1JT" "Tumor"
"TCGA-D8-A1JU-01" "TCGA-D8-A1JU" "Tumor"
"TCGA-D8-A1X5-01" "TCGA-D8-A1X5" "Tumor"
"TCGA-D8-A1X6-01" "TCGA-D8-A1X6" "Tumor"
"TCGA-D8-A1X7-01" "TCGA-D8-A1X7" "Tumor"
"TCGA-D8-A1X8-01" "TCGA-D8-A1X8" "Tumor"
"TCGA-D8-A1X9-01" "TCGA-D8-A1X9" "Tumor"
"TCGA-D8-A1XA-01" "TCGA-D8-A1XA" "Tumor"
"TCGA-D8-A1XB-01" "TCGA-D8-A1XB" "Tumor"
"TCGA-D8-A1XC-01" "TCGA-D8-A1XC" "Tumor"
"TCGA-D8-A1XD-01" "TCGA-D8-A1XD" "Tumor"
"TCGA-D8-A1XF-01" "TCGA-D8-A1XF" "Tumor"
"TCGA-D8-A1XG-01" "TCGA-D8-A1XG" "Tumor"
"TCGA-D8-A1XJ-01" "TCGA-D8-A1XJ" "Tumor"
"TCGA-D8-A1XK-01" "TCGA-D8-A1XK" "Tumor"
"TCGA-D8-A1XL-01" "TCGA-D8-A1XL" "Tumor"
"TCGA-D8-A1XM-01" "TCGA-D8-A1XM" "Tumor"
"TCGA-D8-A1XO-01" "TCGA-D8-A1XO" "Tumor"
"TCGA-D8-A1XQ-01" "TCGA-D8-A1XQ" "Tumor"
"TCGA-D8-A1XR-01" "TCGA-D8-A1XR" "Tumor"
"TCGA-D8-A1XS-01" "TCGA-D8-A1XS" "Tumor"
"TCGA-D8-A1XT-01" "TCGA-D8-A1XT" "Tumor"
"TCGA-D8-A1XU-01" "TCGA-D8-A1XU" "Tumor"
"TCGA-D8-A1XV-01" "TCGA-D8-A1XV" "Tumor"
"TCGA-D8-A1XW-01" "TCGA-D8-A1XW" "Tumor"
"TCGA-D8-A1XY-01" "TCGA-D8-A1XY" "Tumor"
"TCGA-D8-A1XZ-01" "TCGA-D8-A1XZ" "Tumor"
"TCGA-D8-A1Y0-01" "TCGA-D8-A1Y0" "Tumor"
"TCGA-D8-A1Y1-01" "TCGA-D8-A1Y1" "Tumor"
"TCGA-D8-A1Y2-01" "TCGA-D8-A1Y2" "Tumor"
