"","dynamicColors","mergedColors"
"CLRN3","grey","grey"
"CLSPN","green","green"
"CLSTN2","brown","brown"
"CLSTN3","red","magenta"
"CLTA","turquoise","turquoise"
"CLTB","yellow","yellow"
"CLTC","turquoise","turquoise"
"CLTCL1","black","black"
"CLU","green","green"
"CLUAP1","grey","grey"
"CLUL1","green","green"
"CLVS1","turquoise","turquoise"
"CLYBL","midnightblue","midnightblue"
"CMA1","greenyellow","greenyellow"
"CMAS","green","green"
"CMBL","brown","brown"
"CMC1","turquoise","turquoise"
"CMKLR1","magenta","magenta"
"CMPK2","lightcyan","lightcyan"
"CMTM1","turquoise","turquoise"
"CMTM2","turquoise","turquoise"
"CMTM3","black","black"
"CMTM4","turquoise","turquoise"
"CMTM5","pink","pink"
"CMTM6","turquoise","turquoise"
"CMTM7","pink","pink"
"CMTM8","grey","grey"
"CMYA5","brown","brown"
"CNDP1","grey","grey"
"CNDP2","grey","grey"
"CNFN","turquoise","turquoise"
"CNGA1","pink","pink"
"CNGA3","grey","grey"
"CNGA4","brown","brown"
"CNGB1","brown","brown"
"CNIH2","green","green"
"CNIH3","black","black"
"CNIH4","green","green"
"CNKSR1","yellow","yellow"
"CNKSR2","pink","pink"
"CNKSR3","pink","pink"
"CNN1","black","black"
"CNN2","black","black"
"CNN3","pink","pink"
"CNNM1","pink","pink"
"CNNM2","grey","grey"
"CNNM4","blue","blue"
"CNOT1","turquoise","turquoise"
"CNOT6","turquoise","turquoise"
"CNOT6L","turquoise","turquoise"
"CNOT7","yellow","yellow"
"CNPY2","turquoise","turquoise"
"CNPY3","turquoise","turquoise"
"CNPY4","turquoise","turquoise"
"CNR1","red","magenta"
"CNR2","red","magenta"
"CNRIP1","black","black"
"CNST","blue","blue"
"CNTD1","brown","brown"
"CNTD2","grey","grey"
"CNTF","turquoise","turquoise"
"CNTFR","salmon","salmon"
"CNTLN","purple","purple"
"CNTN1","black","black"
"CNTN2","grey","grey"
"CNTN3","black","black"
"CNTN4","tan","tan"
"CNTN6","grey","grey"
"CNTNAP1","black","black"
"CNTNAP2","grey","grey"
"CNTNAP3","pink","pink"
"CNTNAP4","red","magenta"
"CNTROB","yellow","yellow"
"COASY","purple","purple"
"COBL","grey","grey"
"COBLL1","turquoise","turquoise"
"COCH","green","green"
"COG2","blue","blue"
"COG3","blue","blue"
"COG4","blue","blue"
"COG6","turquoise","turquoise"
"COG7","purple","purple"
"COL10A1","black","black"
"COL11A1","black","black"
"COL11A2","pink","pink"
"COL12A1","black","black"
"COL13A1","black","black"
"COL14A1","tan","tan"
"COL15A1","tan","tan"
"COL16A1","black","black"
"COL17A1","greenyellow","greenyellow"
"COL18A1","black","black"
"COL19A1","red","magenta"
"COL1A1","black","black"
"COL1A2","black","black"
"COL21A1","greenyellow","greenyellow"
"COL22A1","brown","brown"
"COL23A1","red","magenta"
"COL24A1","black","black"
"COL25A1","tan","tan"
"COL27A1","pink","pink"
"COL28A1","grey","grey"
"COL2A1","grey","grey"
"COL3A1","black","black"
"COL4A1","greenyellow","greenyellow"
"COL4A2","greenyellow","greenyellow"
"COL4A3","red","magenta"
"COL4A4","red","magenta"
"COL4A5","green","green"
"COL4A6","green","green"
"COL5A1","black","black"
"COL5A2","black","black"
"COL5A3","black","black"
"COL6A1","black","black"
"COL6A2","black","black"
"COL6A3","black","black"
"COL6A6","red","magenta"
"COL7A1","black","black"
"COL8A1","black","black"
"COL8A2","black","black"
"COL9A1","pink","pink"
"COL9A2","grey","grey"
"COL9A3","pink","pink"
"COLEC10","grey","grey"
"COLEC11","red","magenta"
"COLEC12","black","black"
"COLQ","purple","purple"
"COMMD10","brown","brown"
"COMMD1","turquoise","turquoise"
"COMMD3","turquoise","turquoise"
"COMMD4","turquoise","turquoise"
"COMMD5","yellow","yellow"
"COMMD6","midnightblue","midnightblue"
"COMMD7","turquoise","turquoise"
"COMMD8","grey","grey"
"COMP","black","black"
"COMT","turquoise","turquoise"
"COMTD1","yellow","yellow"
"COPA","turquoise","turquoise"
"COPB1","turquoise","turquoise"
"COPE","yellow","yellow"
"COPG2","magenta","magenta"
"COPS5","cyan","cyan"
"COPZ2","black","black"
"COQ10A","grey","grey"
"COQ2","green","green"
"COQ3","blue","blue"
"COQ4","purple","purple"
"COQ6","purple","purple"
"COQ7","brown","brown"
"COQ9","green","green"
"CORIN","black","black"
"CORO1A","red","magenta"
"CORO1B","yellow","yellow"
"CORO1C","magenta","magenta"
"CORO2A","brown","brown"
"CORO2B","tan","tan"
"CORO6","grey","grey"
"CORO7","purple","purple"
"CORT","turquoise","turquoise"
"COTL1","red","magenta"
"COX11","blue","blue"
"COX17","turquoise","turquoise"
"COX19","yellow","yellow"
"COX4I1","turquoise","turquoise"
"COX4I2","greenyellow","greenyellow"
"COX5A","turquoise","turquoise"
"COX5B","turquoise","turquoise"
"COX6A1","turquoise","turquoise"
"COX6B1","turquoise","turquoise"
"COX6B2","grey","grey"
"COX6C","pink","pink"
"COX7A1","greenyellow","greenyellow"
"COX7A2","turquoise","turquoise"
"COX7B","turquoise","turquoise"
"COX7C","turquoise","turquoise"
"COX8A","turquoise","turquoise"
"CP","red","magenta"
"CPA1","salmon","salmon"
"CPA2","brown","brown"
"CPA3","tan","tan"
"CPA4","brown","brown"
"CPA5","red","magenta"
"CPA6","brown","brown"
"CPAMD8","pink","pink"
"CPB1","brown","brown"
"CPD","blue","blue"
"CPE","tan","tan"
"CPEB1","tan","tan"
"CPEB2","brown","brown"
"CPEB3","blue","blue"
"CPEB4","blue","blue"
"CPLX1","brown","brown"
"CPLX3","blue","blue"
"CPM","magenta","magenta"
"CPN2","black","black"
"CPNE1","turquoise","turquoise"
"CPNE2","pink","pink"
"CPNE3","cyan","cyan"
"CPNE4","grey","grey"
"CPNE5","red","magenta"
"CPNE7","yellow","yellow"
"CPNE8","pink","pink"
"CPNE9","grey","grey"
"CPO","green","green"
"CPPED1","grey","grey"
"CPS1","tan","tan"
"CPSF1","yellow","yellow"
"CPSF4","yellow","yellow"
"CPSF4L","grey","grey"
"CPT1A","blue","blue"
"CPT1B","yellow","yellow"
"CPT1C","black","black"
"CPVL","magenta","magenta"
"CPXM1","black","black"
"CPXM2","tan","tan"
"CPZ","black","black"
"CR1","red","magenta"
"CR1L","red","magenta"
"CR2","red","magenta"
"CRABP1","pink","pink"
"CRABP2","grey","grey"
"CRADD","brown","brown"
"CRAT","brown","brown"
"CRB1","grey","grey"
"CRB2","red","magenta"
"CRB3","yellow","yellow"
"CREB3","turquoise","turquoise"
"CREB3L1","grey","grey"
"CREB3L2","pink","pink"
"CREB3L3","red","magenta"
"CREB3L4","brown","brown"
"CREB5","pink","pink"
"CREBBP","turquoise","turquoise"
"CREBL2","blue","blue"
"CREBZF","turquoise","turquoise"
"CREG1","grey","grey"
"CREG2","grey","grey"
"CRELD1","yellow","yellow"
"CRELD2","turquoise","turquoise"
"CRHBP","greenyellow","greenyellow"
"CRHR1","pink","pink"
"CRHR2","greenyellow","greenyellow"
"CRIM1","turquoise","turquoise"
"CRIP1","purple","purple"
"CRIP2","purple","purple"
"CRIP3","turquoise","turquoise"
"CRIPAK","purple","purple"
"CRISP3","grey","grey"
"CRISPLD1","pink","pink"
"CRISPLD2","black","black"
"CRLF1","black","black"
"CRLF3","red","magenta"
"CRMP1","grey","grey"
"CRNKL1","blue","blue"
"CROCC","yellow","yellow"
"CROT","brown","brown"
"CRP","grey","grey"
"CRTAC1","greenyellow","greenyellow"
"CRTAM","red","magenta"
"CRTC1","purple","purple"
"CRTC2","blue","blue"
"CRY1","turquoise","turquoise"
"CRY2","green","green"
"CRYAB","pink","pink"
"CRYBA4","grey","grey"
"CRYBB1","magenta","magenta"
"CRYBB2","turquoise","turquoise"
"CRYBB3","turquoise","turquoise"
"CRYBG3","pink","pink"
"CRYGN","black","black"
"CRYGS","turquoise","turquoise"
"CRYL1","green","green"
"CRYM","grey","grey"
"CRYZ","grey","grey"
"CSAD","purple","purple"
"CSAG3","red","magenta"
"CSDC2","black","black"
"CSE1L","green","green"
"CSF1","magenta","magenta"
"CSF1R","magenta","magenta"
"CSF2RA","magenta","magenta"
"CSF2RB","red","magenta"
"CSF3","greenyellow","greenyellow"
"CSF3R","magenta","magenta"
"CSGALNACT1","tan","tan"
"CSGALNACT2","turquoise","turquoise"
"CSK","red","magenta"
"CSMD1","grey","grey"
"CSMD2","black","black"
"CSNK1A1L","blue","blue"
"CSNK1E","yellow","yellow"
"CSNK1G1","blue","blue"
"CSNK1G2","yellow","yellow"
"CSNK1G3","blue","blue"
"CSNK2A2","green","green"
"CSNK2B","turquoise","turquoise"
"CSPG4","greenyellow","greenyellow"
"CSPG5","green","green"
"CSPP1","cyan","cyan"
"CSRNP1","greenyellow","greenyellow"
"CSRNP2","blue","blue"
"CSRNP3","turquoise","turquoise"
"CSRP1","black","black"
"CSRP2","pink","pink"
"CST1","grey","grey"
"CST2","greenyellow","greenyellow"
"CST3","green","green"
"CST4","grey","grey"
"CST5","brown","brown"
"CST6","grey","grey"
"CST7","red","magenta"
"CST9","brown","brown"
"CSTA","red","magenta"
"CSTB","blue","blue"
"CT62","brown","brown"
"CTAGE1","turquoise","turquoise"
"CTAGE4","grey","grey"
"CTAGE6","grey","grey"
"CTAGE9","grey","grey"
"CTBP2","grey","grey"
"CTBS","blue","blue"
"CTCFL","green","green"
"CTDP1","yellow","yellow"
"CTDSPL","green","green"
"CTDSPL2","turquoise","turquoise"
"CTF1","green","green"
"CTH","grey","grey"
"CTHRC1","black","black"
"CTLA4","red","magenta"
"CTNNA2","grey","grey"
"CTNNA3","grey","grey"
"CTNNAL1","grey","grey"
"CTNNB1","turquoise","turquoise"
"CTNNBIP1","blue","blue"
"CTNND1","turquoise","turquoise"
"CTNND2","brown","brown"
"CTPS2","grey","grey"
"CTR9","blue","blue"
"CTRL","red","magenta"
"CTSA","magenta","magenta"
"CTSB","magenta","magenta"
"CTSC","red","magenta"
"CTSD","magenta","magenta"
"CTSE","grey","grey"
"CTSF","green","green"
"CTSG","greenyellow","greenyellow"
"CTSH","red","magenta"
"CTSK","black","black"
"CTSO","tan","tan"
"CTSS","magenta","magenta"
"CTSW","red","magenta"
"CTSZ","magenta","magenta"
"CTTN","turquoise","turquoise"
"CTTNBP2","tan","tan"
"CTTNBP2NL","pink","pink"
"CTU1","blue","blue"
"CTU2","blue","blue"
"CTXN1","yellow","yellow"
"CTXN2","grey","grey"
"CUBN","tan","tan"
"CUEDC1","brown","brown"
"CUEDC2","yellow","yellow"
"CUL5","turquoise","turquoise"
"CUL7","grey","grey"
"CUL9","purple","purple"
"CUTA","turquoise","turquoise"
"CUX1","grey","grey"
"CUX2","grey","grey"
"CUZD1","grey","grey"
"CWC15","turquoise","turquoise"
"CWF19L2","turquoise","turquoise"
"CWH43","pink","pink"
"CX3CL1","pink","pink"
"CX3CR1","green","green"
"CXADR","turquoise","turquoise"
"CXCL10","red","magenta"
"CXCL11","red","magenta"
"CXCL12","tan","tan"
"CXCL1","pink","pink"
"CXCL13","red","magenta"
"CXCL14","tan","tan"
"CXCL16","magenta","magenta"
"CXCL17","grey","grey"
"CXCL2","pink","pink"
"CXCL3","pink","pink"
"CXCL5","pink","pink"
"CXCL6","pink","pink"
"CXCL9","red","magenta"
"CXCR1","grey","grey"
"CXCR2","magenta","magenta"
"CXCR3","red","magenta"
"CXCR4","red","magenta"
"CXCR5","red","magenta"
"CXCR6","red","magenta"
"CXorf21","magenta","magenta"
"CXorf38","turquoise","turquoise"
"CXorf40A","purple","purple"
"CXorf40B","purple","purple"
"CXorf58","grey","grey"
"CXorf65","red","magenta"
"CXXC1","yellow","yellow"
"CXXC4","turquoise","turquoise"
"CXXC5","brown","brown"
"CYB561","turquoise","turquoise"
"CYB561D1","grey","grey"
"CYB561D2","purple","purple"
"CYB5A","brown","brown"
"CYB5D1","brown","brown"
"CYB5D2","green","green"
"CYB5R1","brown","brown"
"CYB5R2","pink","pink"
"CYB5R3","black","black"
"CYB5R4","turquoise","turquoise"
"CYB5RL","turquoise","turquoise"
"CYBA","magenta","magenta"
"CYBB","magenta","magenta"
"CYBRD1","green","green"
"CYC1","yellow","yellow"
"CYCS","green","green"
"CYFIP2","blue","blue"
"CYGB","greenyellow","greenyellow"
"CYHR1","yellow","yellow"
"CYLD","red","magenta"
"CYP11A1","black","black"
"CYP17A1","grey","grey"
"CYP19A1","greenyellow","greenyellow"
"CYP1A1","grey","grey"
"CYP1B1","red","magenta"
"CYP21A2","green","green"
"CYP24A1","grey","grey"
"CYP26A1","black","black"
"CYP26B1","pink","pink"
"CYP26C1","black","black"
"CYP27A1","red","magenta"
"CYP27B1","grey","grey"
"CYP27C1","pink","pink"
"CYP2A6","brown","brown"
"CYP2A7","brown","brown"
"CYP2B6","brown","brown"
"CYP2C8","brown","brown"
"CYP2D6","blue","blue"
"CYP2E1","purple","purple"
"CYP2J2","grey","grey"
"CYP2R1","brown","brown"
"CYP2S1","magenta","magenta"
"CYP2U1","tan","tan"
"CYP39A1","pink","pink"
"CYP3A4","grey","grey"
"CYP3A5","grey","grey"
"CYP3A7","grey","grey"
"CYP46A1","greenyellow","greenyellow"
"CYP4A11","green","green"
"CYP4A22","green","green"
"CYP4B1","brown","brown"
"CYP4F11","brown","brown"
"CYP4F12","greenyellow","greenyellow"
"CYP4F22","brown","brown"
"CYP4F3","grey","grey"
"CYP4F8","green","green"
"CYP4V2","blue","blue"
"CYP4X1","green","green"
"CYP4Z1","green","green"
"CYP51A1","red","magenta"
"CYP7A1","tan","tan"
"CYP7B1","pink","pink"
"CYP8B1","grey","grey"
"CYS1","black","black"
"CYSLTR1","magenta","magenta"
"CYSLTR2","magenta","magenta"
"CYTH1","red","magenta"
"CYTH2","yellow","yellow"
"CYTH3","black","black"
"CYTH4","magenta","magenta"
"CYTIP","red","magenta"
"CYTL1","greenyellow","greenyellow"
"CYYR1","greenyellow","greenyellow"
"D2HGDH","purple","purple"
"DAAM1","turquoise","turquoise"
"DAAM2","tan","tan"
"DAB1","grey","grey"
"DAB2","tan","tan"
"DAB2IP","grey","grey"
"DACH1","brown","brown"
"DACH2","grey","grey"
"DACT1","black","black"
"DACT2","red","magenta"
"DACT3","black","black"
"DAG1","turquoise","turquoise"
"DAGLA","grey","grey"
"DALRD3","brown","brown"
"DAND5","yellow","yellow"
"DAP3","grey","grey"
"DAPK1","magenta","magenta"
"DAPK2","grey","grey"
"DAPK3","yellow","yellow"
"DAPL1","grey","grey"
"DAPP1","magenta","magenta"
"DARS2","yellow","yellow"
"DAZAP1","yellow","yellow"
"DAZL","red","magenta"
"DBF4","green","green"
"DBF4B","green","green"
"DBH","red","magenta"
"DBI","blue","blue"
"DBN1","blue","blue"
"DBNDD1","blue","blue"
"DBNDD2","brown","brown"
"DBP","yellow","yellow"
"DBT","turquoise","turquoise"
"DBX2","greenyellow","greenyellow"
"DCAF10","blue","blue"
"DCAF12L2","grey","grey"
"DCAF13","cyan","cyan"
"DCAF15","yellow","yellow"
"DCAF16","blue","blue"
"DCAF4","blue","blue"
"DCAF4L1","grey","grey"
"DCAF6","grey","grey"
"DCAF7","turquoise","turquoise"
"DCAKD","magenta","magenta"
"DCBLD1","black","black"
"DCBLD2","pink","pink"
"DCC","red","magenta"
"DCDC1","brown","brown"
"DCDC2","grey","grey"
"DCDC2B","brown","brown"
"DCHS1","black","black"
"DCHS2","pink","pink"
"DCK","turquoise","turquoise"
"DCLK1","blue","blue"
"DCLK2","pink","pink"
"DCLK3","greenyellow","greenyellow"
"DCLRE1A","turquoise","turquoise"
"DCLRE1B","green","green"
"DCLRE1C","green","green"
"DCN","black","black"
"DCP1A","turquoise","turquoise"
"DCP2","blue","blue"
"DCPS","blue","blue"
"DCST1","grey","grey"
"DCST2","purple","purple"
"DCT","grey","grey"
"DCTN4","brown","brown"
"DCTN6","grey","grey"
"DCTPP1","purple","purple"
"DCUN1D1","turquoise","turquoise"
"DCUN1D2","grey","grey"
"DCUN1D5","blue","blue"
"DCX","pink","pink"
"DCXR","yellow","yellow"
"DDA1","blue","blue"
"DDAH1","red","magenta"
"DDAH2","yellow","yellow"
"DDB2","grey","grey"
"DDC","brown","brown"
"DDHD1","turquoise","turquoise"
"DDHD2","turquoise","turquoise"
"DDI2","turquoise","turquoise"
"DDIT3","turquoise","turquoise"
"DDIT4","blue","blue"
"DDIT4L","grey","grey"
"DDN","green","green"
"DDO","green","green"
"DDR1","magenta","magenta"
"DDR2","tan","tan"
"DDRGK1","yellow","yellow"
"DDT","turquoise","turquoise"
"DDTL","yellow","yellow"
"DDX10","yellow","yellow"
"DDX11","green","green"
"DDX21","turquoise","turquoise"
"DDX25","grey","grey"
"DDX28","blue","blue"
"DDX43","grey","grey"
"DDX49","yellow","yellow"
"DDX51","yellow","yellow"
"DDX52","turquoise","turquoise"
"DDX54","yellow","yellow"
"DDX58","lightcyan","lightcyan"
"DDX59","blue","blue"
"DDX60","lightcyan","lightcyan"
"DDX60L","lightcyan","lightcyan"
"DEAF1","yellow","yellow"
"DECR1","cyan","cyan"
"DECR2","purple","purple"
"DEDD2","turquoise","turquoise"
"DEF6","red","magenta"
"DEF8","yellow","yellow"
"DEFB1","pink","pink"
"DEFB132","green","green"
"DEGS1","grey","grey"
"DEGS2","brown","brown"
"DEK","green","green"
"DENND1B","turquoise","turquoise"
"DENND1C","red","magenta"
"DENND2A","greenyellow","greenyellow"
"DENND2C","turquoise","turquoise"
"DENND2D","brown","brown"
"DENND3","magenta","magenta"
"DENND4A","turquoise","turquoise"
"DENND4C","turquoise","turquoise"
"DENND5A","turquoise","turquoise"
"DENND5B","blue","blue"
"DEPDC1","green","green"
"DEPDC1B","green","green"
"DEPDC4","turquoise","turquoise"
"DEPDC5","turquoise","turquoise"
"DEPDC7","black","black"
"DERL1","cyan","cyan"
"DERL2","turquoise","turquoise"
"DERL3","red","magenta"
"DES","greenyellow","greenyellow"
"DET1","blue","blue"
"DEXI","purple","purple"
"DFFB","blue","blue"
"DGAT1","yellow","yellow"
"DGAT2","salmon","salmon"
"DGCR2","yellow","yellow"
"DGCR6","turquoise","turquoise"
"DGCR6L","yellow","yellow"
"DGKA","red","magenta"
"DGKB","greenyellow","greenyellow"
"DGKD","green","green"
"DGKE","blue","blue"
"DGKG","magenta","magenta"
"DGKH","turquoise","turquoise"
"DGKI","black","black"
"DGKQ","purple","purple"
"DGKZ","yellow","yellow"
"DGUOK","turquoise","turquoise"
"DHCR24","brown","brown"
"DHCR7","green","green"
"DHDH","blue","blue"
"DHFR","green","green"
"DHH","greenyellow","greenyellow"
"DHODH","blue","blue"
"DHPS","yellow","yellow"
"DHRS1","turquoise","turquoise"
"DHRS11","turquoise","turquoise"
"DHRS12","green","green"
"DHRS13","turquoise","turquoise"
"DHRS2","brown","brown"
"DHRS3","turquoise","turquoise"
"DHRS4","turquoise","turquoise"
"DHRS4L2","turquoise","turquoise"
"DHRS7","brown","brown"
"DHRS7B","turquoise","turquoise"
"DHRS9","magenta","magenta"
"DHRSX","turquoise","turquoise"
"DHTKD1","green","green"
"DHX29","blue","blue"
"DHX33","turquoise","turquoise"
"DHX34","yellow","yellow"
"DHX40","turquoise","turquoise"
"DHX58","lightcyan","lightcyan"
"DIAPH2","pink","pink"
"DIAPH3","green","green"
"DICER1","turquoise","turquoise"
"DIO1","brown","brown"
"DIO2","black","black"
"DIO3","black","black"
"DIP2B","turquoise","turquoise"
"DIP2C","turquoise","turquoise"
"DIRAS1","grey","grey"
"DIRAS2","grey","grey"
"DIRAS3","green","green"
"DIRC1","black","black"
"DIS3","turquoise","turquoise"
"DIS3L","brown","brown"
"DISC1","magenta","magenta"
"DISP1","blue","blue"
"DISP2","grey","grey"
"DIXDC1","blue","blue"
"DKC1","green","green"
"DKK1","brown","brown"
"DKK2","tan","tan"
"DKK3","black","black"
"DKKL1","blue","blue"
"DLAT","yellow","yellow"
"DLC1","tan","tan"
"DLEC1","green","green"
"DLEU7","magenta","magenta"
"DLG1","turquoise","turquoise"
"DLG2","tan","tan"
"DLG4","green","green"
"DLG5","blue","blue"
"DLGAP1","grey","grey"
"DLGAP2","greenyellow","greenyellow"
"DLGAP3","grey","grey"
"DLGAP5","green","green"
"DLK1","grey","grey"
"DLK2","greenyellow","greenyellow"
"DLL1","greenyellow","greenyellow"
"DLL3","blue","blue"
"DLL4","greenyellow","greenyellow"
"DLX1","grey","grey"
"DLX2","green","green"
"DLX3","grey","grey"
"DLX4","grey","grey"
"DLX5","pink","pink"
"DLX6","pink","pink"
"DMAP1","yellow","yellow"
"DMBT1","grey","grey"
"DMBX1","green","green"
"DMC1","grey","grey"
"DMD","pink","pink"
"DMGDH","tan","tan"
"DMKN","grey","grey"
"DMP1","grey","grey"
"DMPK","yellow","yellow"
"DMRT2","salmon","salmon"
"DMRT3","greenyellow","greenyellow"
"DMRTA1","pink","pink"
"DMRTA2","brown","brown"
"DMRTC1B","green","green"
"DMTF1","turquoise","turquoise"
"DMXL1","blue","blue"
"DMXL2","turquoise","turquoise"
"DNA2","green","green"
"DNAH10","turquoise","turquoise"
"DNAH11","brown","brown"
"DNAH12","grey","grey"
"DNAH1","red","magenta"
"DNAH14","grey","grey"
"DNAH17","blue","blue"
"DNAH2","grey","grey"
"DNAH3","grey","grey"
"DNAH5","brown","brown"
"DNAH6","brown","brown"
"DNAH7","brown","brown"
"DNAH8","red","magenta"
"DNAH9","green","green"
"DNAI1","brown","brown"
